,Varsta,Sex,Micro,progn,T,Ghr muc/HPF,Ghr muc/5HPF,Ghr,Ghrelin rank,Hp_rk,Inflam,Distributie,mucoasa,HP,mono,neutro,Atrofie,Metaplazie,pleomorfism,AM,CD117,DOG1,CD34,GRPI,GRPP,Scor perif,GRCI,GRCC,Scor centru,Scor total (Allred dublu)
Varsta,1.0,-0.12610740820062238,0.0012978128997233928,-0.028848524795391083,-0.08055062968366579,-0.08114819490696241,-0.05885612314160291,-0.05885612314160291,0.05885612314160291,0.04977239691468088,-0.03094995502707333,-0.06843639443088557,0.18592445034090568,-0.04977239691468088,0.03094995502707333,0.00504356277224002,0.013829193609521152,-0.029922302887769876,-0.014656833601216486,0.08900020876831267,0.08799394622474244,0.033575956834390845,-0.11664236870396084,0.06049522415321272,0.03962530765419318,0.06285879180312433,-0.00121052956175675,0.04344893715889175,-0.025145398565901814,0.022697836252748353
Sex,-0.12610740820062238,1.0,0.40884645677802,-0.11662730544197464,-0.02782417224848341,0.00957141960993702,-0.01490892710221473,-0.01490892710221473,0.01490892710221473,-0.23305541089199885,-0.0950300183886271,0.11953617601852867,-0.08257228238447704,0.23305541089199885,0.0950300183886271,0.08130130652846716,0.12859786745735896,0.0712028714792898,0.3611486447243549,0.08070002078437538,-0.08510677611520903,-0.009278370237815069,0.14101901870444156,0.28451444306404317,0.2934050814092004,0.29735735966707266,0.28099460787034497,0.1801000016417279,0.276436306883552,0.28367963467282087
Micro,0.0012978128997233928,0.40884645677802,1.0,-0.05031934335785106,0.00774823260695426,-0.24726975422846673,-0.29514868728916327,-0.29514868728916327,0.29514868728916327,-0.005426001736346155,-0.20844125389991888,0.0,0.20413569692234182,0.005426001736346155,0.20844125389991888,0.11216541576080957,0.2804983271893504,0.28053357009193586,0.11983751461557558,-0.04911876448723067,0.08345712505367366,0.013177173713829024,0.15576998991028307,0.14914765894846316,0.13158786887032675,0.1351942966032644,0.12035429979206821,0.23818540890811724,0.21167278398534656,0.1754598479760638
progn,-0.028848524795391083,-0.11662730544197464,-0.05031934335785106,1.0,0.6008987657993515,0.05755448191653004,0.0982525267026703,0.0982525267026703,-0.0982525267026703,-0.008934241409452912,0.034568032952670365,-0.011125553228901408,-0.05900010727301983,0.008934241409452912,-0.034568032952670365,0.028970536386689234,0.08004174940682837,-0.08951851966742548,-0.12233824264260729,-0.055415742077245145,-0.009477050014166157,-0.1663437957821981,-0.05757820899171134,-0.1516084804068445,-0.21010173880343483,-0.1973616841025693,0.019556315563620363,-0.11475918872804694,-0.09066544359789518,-0.1600090871938547
T,-0.08055062968366579,-0.02782417224848341,0.00774823260695426,0.6008987657993515,1.0,-0.050810565213453174,0.008198964395646316,0.008198964395646316,-0.008198964395646316,0.013206769593600107,-0.1532974179632726,-0.04317077464376844,0.01783945375636032,-0.013206769593600107,0.1532974179632726,0.1565782149215673,0.1190712753121686,0.0456531664247568,-0.01604250397632279,0.05147463839041225,-0.04990763193396527,0.04410030998617748,-0.00870476211109701,-0.11112922682314387,-0.11646618030109959,-0.10685967840742668,-0.08817100555390865,-0.08646661669638808,-0.11226637457073234,-0.11580043492502336
Ghr muc/HPF,-0.08114819490696241,0.00957141960993702,-0.24726975422846673,0.05755448191653004,-0.050810565213453174,1.0,0.8131430763258153,0.8131430763258153,-0.8131430763258153,-0.18618529057069086,0.19781895559611623,-0.00515224831385119,-0.4885016589437853,0.18618529057069086,-0.19781895559611623,0.013416267414184415,-0.09906191696907132,0.023215395604545132,0.01705738650723838,0.0443901459646007,0.16458096718146026,-0.13397196661951144,0.05332898492121269,0.026691386005707845,0.02533807353252802,0.028694808130778786,0.12196137634135047,0.004127769156374763,0.04689479986171789,0.029845943949031763
Ghr muc/5HPF,-0.05885612314160291,-0.01490892710221473,-0.29514868728916327,0.0982525267026703,0.008198964395646316,0.8131430763258153,1.0,1.0,-1.0,-0.20369166438022082,0.2278207351618492,0.029365677198639983,-0.5416682210428094,0.20369166438022082,-0.2278207351618492,0.008311647444670158,-0.15779112723204336,-0.011505923523827104,0.0772929385356066,0.12375264620792222,0.09353242457702561,-0.13943718986696715,0.05286140564295799,0.03220896069226663,0.025115913704205628,0.021069049656634135,0.137649352673787,-0.053190508712546394,0.014053191795546326,0.016322350287321378
Ghr,-0.05885612314160291,-0.01490892710221473,-0.29514868728916327,0.0982525267026703,0.008198964395646316,0.8131430763258153,1.0,1.0,-1.0,-0.20369166438022082,0.2278207351618492,0.029365677198639983,-0.5416682210428094,0.20369166438022082,-0.2278207351618492,0.008311647444670158,-0.15779112723204336,-0.011505923523827104,0.0772929385356066,0.12375264620792222,0.09353242457702561,-0.13943718986696715,0.05286140564295799,0.03220896069226663,0.025115913704205628,0.021069049656634135,0.137649352673787,-0.053190508712546394,0.014053191795546326,0.016322350287321378
Ghrelin rank,0.05885612314160291,0.01490892710221473,0.29514868728916327,-0.0982525267026703,-0.008198964395646316,-0.8131430763258153,-1.0,-1.0,1.0,0.20369166438022082,-0.2278207351618492,-0.029365677198639983,0.5416682210428094,-0.20369166438022082,0.2278207351618492,-0.008311647444670158,0.15779112723204336,0.011505923523827104,-0.0772929385356066,-0.12375264620792222,-0.09353242457702561,0.13943718986696715,-0.05286140564295799,-0.03220896069226663,-0.025115913704205628,-0.021069049656634135,-0.137649352673787,0.053190508712546394,-0.014053191795546326,-0.016322350287321378
Hp_rk,0.04977239691468088,-0.23305541089199885,-0.005426001736346155,-0.008934241409452912,0.013206769593600107,-0.18618529057069086,-0.20369166438022082,-0.20369166438022082,0.20369166438022082,1.0,0.091057914813853,0.2015467785227604,0.15731639415469437,-1.0,-0.091057914813853,-0.41704485249652273,-0.20769670732253184,0.05328401388554507,-0.011915260412032249,0.1007768970459597,0.021460381126176133,0.24332029181117742,0.13884988901016668,-0.08106517752297714,-0.16425273752100988,-0.0905712663004354,-0.07929026049732056,-0.06487673237380162,-0.06551575202747369,-0.06757813822910505
Inflam,-0.03094995502707333,-0.0950300183886271,-0.20844125389991888,0.034568032952670365,-0.1532974179632726,0.19781895559611623,0.2278207351618492,0.2278207351618492,-0.2278207351618492,0.091057914813853,1.0,-0.0820598522759869,-0.1515313055807548,-0.091057914813853,-1.0,-0.14569150491191327,-0.5686468793778481,-0.13829669334998632,0.03387091611283875,0.10283662512776484,0.06100435439415493,-0.14742420168964462,0.1207369884174786,-0.09006360768959927,-0.11152916112653177,-0.0837104584837716,0.041961735754751914,-0.005976634004630378,0.010105957441423709,-0.061990039294384194
Distributie,-0.06843639443088557,0.11953617601852867,0.0,-0.011125553228901408,-0.04317077464376844,-0.00515224831385119,0.029365677198639983,0.029365677198639983,-0.029365677198639983,0.2015467785227604,-0.0820598522759869,1.0,-0.2700848848134018,-0.2015467785227604,0.0820598522759869,0.08315178097265603,0.01642773782584176,-0.2574786682891525,0.07630832695881014,0.2715026629790538,0.0028632850559705382,-0.08740377225340612,-0.19293752863552074,-0.009085331541737535,-0.027771485960494422,-0.0041601314696276,-0.056721758119540354,-0.15349933608225927,-0.1010324348943365,-0.010742949839567108
mucoasa,0.18592445034090568,-0.08257228238447704,0.20413569692234182,-0.05900010727301983,0.01783945375636032,-0.4885016589437853,-0.5416682210428094,-0.5416682210428094,0.5416682210428094,0.15731639415469437,-0.1515313055807548,-0.2700848848134018,1.0,-0.15731639415469437,0.1515313055807548,-0.011252659634262963,0.11487371854435038,0.13630054907489636,-0.31883245653218223,-0.22804268340325642,-0.3239324764862165,0.11236664374387369,-0.02439750182371333,-0.10317456153062407,-0.04420388127117089,-0.06952766434909069,-0.13368982377427846,-0.039814083098734396,-0.08964081232491378,-0.06560310424514913
