,Varsta,Sex,Micro,progn,T,Ghr muc/HPF,Ghr muc/5HPF,Ghr,Ghrelin rank,Hp_rk,Inflam,Distributie,mucoasa,HP,mono,neutro,Atrofie,Metaplazie,pleomorfism,AM,CD117,DOG1,CD34,GRPI,GRPP,Scor perif,GRCI,GRCC,Scor centru,Scor total (Allred dublu)
Varsta,1.0,-0.15096364335689305,0.005755006982395045,-0.03759037765655485,-0.10973131426764544,-0.10398640376104427,-0.08607865161293136,-0.08607865161293136,0.08607865161293136,0.05784810360741246,-0.04804666924474354,-0.08452154537635759,0.22257084506834177,-0.05784810360741246,0.04804666924474354,0.005585307926977536,0.017032851962031217,-0.046397882927287706,-0.012391986561361137,0.1065424780898976,0.1053378774885652,0.040193901732161676,-0.13963300967469305,0.07941012527129017,0.06484214680064093,0.0829932057842816,-0.004332831158417556,0.06785854309452888,-0.03278834164246534,0.0467322701546347
Sex,-0.15096364335689305,1.0,0.4196739203024335,-0.13193962423831182,-0.029697714779117333,0.011484944433682375,-0.018031619691526717,-0.018031619691526717,0.018031619691526717,-0.24190057864005898,-0.10313830829284838,0.12403635180908477,-0.08257228238447704,0.24190057864005898,0.10313830829284838,0.08303181298126872,0.13654940178755756,0.07342870808179781,0.3795073273399262,0.08070002078437538,-0.08510677611520905,-0.009278370237815069,0.14101901870444156,0.3079889259590849,0.34443287690349994,0.33677210748493924,0.2972877835884011,0.2086198137090684,0.30809834862175695,0.3289490456490563
Micro,0.005755006982395045,0.4196739203024335,1.0,-0.05663389274263391,0.007787710370293977,-0.30910273699771884,-0.3696424064394202,-0.3696424064394202,0.3696424064394202,-0.006828383536827553,-0.23686602580958324,-0.003050858109659533,0.20954181400080643,0.006828383536827553,0.23686602580958324,0.11503033694348311,0.30550760448027653,0.2944625597577017,0.13102532634013705,-0.05041957466188875,0.08566731658741536,0.013526144251242314,0.15989524000354138,0.16583946485880277,0.15932999938954218,0.15822595240104628,0.1304433598666938,0.2825454491397428,0.24035071885621706,0.2060888019734358
progn,-0.03759037765655485,-0.13193962423831182,-0.05663389274263391,1.0,0.6559767522907608,0.09121223524490239,0.13930414132056035,0.13930414132056035,-0.13930414132056035,-0.011099008153617754,0.045474934495616,-0.00901430276133655,-0.06674639317201159,0.011099008153617754,-0.045474934495616,0.03188003113080199,0.0940360916363476,-0.10434663783657068,-0.140880336822236,-0.06269142683911721,-0.010721317902511936,-0.18818352894894852,-0.06513780996561758,-0.18443046758651963,-0.27346377410627204,-0.24267351883305271,0.02662941835668963,-0.14337034857724032,-0.10728117916987881,-0.20537227700321906
T,-0.10973131426764544,-0.029697714779117333,0.007787710370293977,0.6559767522907608,1.0,-0.07102867317042158,0.007001189917304557,0.007001189917304557,-0.007001189917304557,0.01331901429278934,-0.18071691842404716,-0.04599341840931474,0.01904067458828066,-0.01331901429278934,0.18071691842404716,0.17067861582899146,0.13333085555302998,0.049538026734862226,-0.01710415682545128,0.054940686667147444,-0.05326816572438573,0.04706980735829596,-0.00929089785984619,-0.12770065408044773,-0.1417969955566252,-0.12325600416595028,-0.10077117508479756,-0.09700975798254363,-0.13000558229278641,-0.13924462415209196
Ghr muc/HPF,-0.10398640376104427,0.011484944433682375,-0.30910273699771884,0.09121223524490239,-0.07102867317042158,1.0,0.9444019467006041,0.9444019467006041,-0.9444019467006041,-0.23169988143636897,0.26344707921717847,-0.013910861488291947,-0.586163248229794,0.23169988143636897,-0.26344707921717847,0.01938979221384521,-0.13184525006318484,0.027121563485615955,0.019704496994984572,0.05326465462627894,0.19748410789120244,-0.16075573478136992,0.06399055244521278,0.03765206613141205,0.054654335471385464,0.033469474924371155,0.17422493433949585,0.02778239370063726,0.07612676765865072,0.04622841008430342
Ghr muc/5HPF,-0.08607865161293136,-0.018031619691526717,-0.3696424064394202,0.13930414132056035,0.007001189917304557,0.9444019467006041,1.0,1.0,-1.0,-0.24936279807352865,0.29118845233267815,0.03190713426426236,-0.6551212769280259,0.24936279807352865,-0.29118845233267815,0.007990016056896636,-0.2129271634755012,-0.01515309182993026,0.09599848929325325,0.14967278577073628,0.11312290262314018,-0.1686424758333453,0.06393329019441968,0.034344363165917186,0.031256258490103626,0.0222407344700901,0.17213788761464116,-0.0561069764537909,0.03452891434029411,0.01803938355240539
Ghr,-0.08607865161293136,-0.018031619691526717,-0.3696424064394202,0.13930414132056035,0.007001189917304557,0.9444019467006041,1.0,1.0,-1.0,-0.24936279807352865,0.29118845233267815,0.03190713426426236,-0.6551212769280259,0.24936279807352865,-0.29118845233267815,0.007990016056896636,-0.2129271634755012,-0.01515309182993026,0.09599848929325325,0.14967278577073628,0.11312290262314018,-0.1686424758333453,0.06393329019441968,0.034344363165917186,0.031256258490103626,0.0222407344700901,0.17213788761464116,-0.0561069764537909,0.03452891434029411,0.01803938355240539
Ghrelin rank,0.08607865161293136,0.018031619691526717,0.3696424064394202,-0.13930414132056035,-0.007001189917304557,-0.9444019467006041,-1.0,-1.0,1.0,0.24936279807352865,-0.29118845233267815,-0.03190713426426236,0.6551212769280259,-0.24936279807352865,0.29118845233267815,-0.007990016056896636,0.2129271634755012,0.01515309182993026,-0.09599848929325325,-0.14967278577073628,-0.11312290262314018,0.1686424758333453,-0.06393329019441968,-0.034344363165917186,-0.031256258490103626,-0.0222407344700901,-0.17213788761464116,0.0561069764537909,-0.03452891434029411,-0.01803938355240539
Hp_rk,0.05784810360741246,-0.24190057864005898,-0.006828383536827553,-0.011099008153617754,0.01331901429278934,-0.23169988143636897,-0.24936279807352865,-0.24936279807352865,0.24936279807352865,1.0,0.10218686916802575,0.2144172885348435,0.1632870338857884,-1.0,-0.10218686916802575,-0.44748593161054373,-0.22592236690896605,0.05407023956821618,-0.012188955807461014,0.10460168942511447,0.02227486842029992,0.25255504327796136,0.14411966822444805,-0.09452951318636547,-0.20261241837091143,-0.10961890372958424,-0.08687025451723254,-0.06515281262651341,-0.0737985333723397,-0.08257778819277534
